Model,Accuracy,F1 Score,Execution Time
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2018,0.11416666666666667,0.05233749767632521,0.04092073440551758
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2018,0.12,0.04134969255242199,0.07500815391540527
RF_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.13,0.04847992692430146,0.03757524490356445
k-NN_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.10166666666666667,0.03950362762536,0.04035520553588867
LGBM_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.14416666666666667,0.06427454659161977,0.046517133712768555
RF_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.08916666666666667,0.03565145626623212,0.04775214195251465
k-NN_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.0033333333333333335,0.001652892561983471,0.04380011558532715
LGBM_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.009166666666666667,0.0037494843970230893,0.09057188034057617
RF_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.21833333333333332,0.06528707107487852,0.04724407196044922
k-NN_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.03,0.011159315410061809,0.03883004188537598
